Season_Year,GameKey,PlayID,GSISID,Time,x,y,dis,o,dir,Event,Number,Position,Role,Side,centered_time,display_time
2017,472,1895,32211,2017-10-08 21:22:21.000,96.839996337890625,6.960000038146973,0.23000000417232516,131.35000610351562,222.41999816894528,,16,WR,PR,rec,24.299999999999272,9.399999999999636
2017,472,1895,28836,2017-10-08 21:22:21.000,89,19.190000534057614,0.5400000214576721,22.65999984741211,100.4800033569336,,57,MLB,PDL2,rec,24.299999999999272,9.399999999999636
2017,472,1895,30161,2017-10-08 21:22:21.000,86.37000274658203,9.359999656677246,0.6299999952316284,13.699999809265135,104.88999938964844,,30,SS,PLL,rec,24.299999999999272,9.399999999999636
2017,472,1895,29329,2017-10-08 21:22:21.000,94.19000244140624,27.5,0.479999989271164,351.4100036621094,62.77000045776367,,31,CB,VR,rec,24.299999999999272,9.399999999999636
2017,472,1895,29329,2017-10-08 21:22:21.000,94.19000244140624,27.5,0.479999989271164,351.4100036621094,62.77000045776367,,23,CB,VR,rec,24.299999999999272,9.399999999999636
2017,472,1895,29329,2017-10-08 21:22:21.000,94.19000244140624,27.5,0.479999989271164,351.4100036621094,62.77000045776367,,27,CB,VR,rec,24.299999999999272,9.399999999999636
2017,472,1895,33931,2017-10-08 21:22:21.000,79.80000305175781,19.049999237060547,0.7699999809265136,20.690000534057614,118.45999908447266,,42,FS,PLR1,rec,24.299999999999272,9.399999999999636
2017,472,1895,32472,2017-10-08 21:22:21.000,80.0199966430664,23.069999694824215,0.7099999785423279,33.25,116.5500030517578,,38,FB,PDR2,rec,24.299999999999272,9.399999999999636
2017,472,1895,32475,2017-10-08 21:22:21.000,69.91999816894531,14.340000152587892,0.479999989271164,16.899999618530273,106.87999725341795,,6,WR,PDL1,rec,24.299999999999272,9.399999999999636
2017,472,1895,32475,2017-10-08 21:22:21.000,69.91999816894531,14.340000152587892,0.479999989271164,16.899999618530273,106.87999725341795,,19,WR,PDL1,rec,24.299999999999272,9.399999999999636
2017,472,1895,33937,2017-10-08 21:22:21.000,82.05000305175781,7.360000133514403,0.6100000143051147,82.05999755859375,136.50999450683594,,84,WR,PLR2,rec,24.299999999999272,9.399999999999636
2017,472,1895,30033,2017-10-08 21:22:21.000,73.410003662109375,19.309999465942386,0.5600000023841858,24.78000068664551,107.3000030517578,,52,OLB,PDL3,rec,24.299999999999272,9.399999999999636
2017,472,1895,29329,2017-10-08 21:22:21.100,94.589996337890625,27.709999084472656,0.44999998807907104,346.6300048828125,59.43999862670898,,31,CB,VR,rec,24.399999999999636,9.5
2017,472,1895,29329,2017-10-08 21:22:21.100,94.589996337890625,27.709999084472656,0.44999998807907104,346.6300048828125,59.43999862670898,,23,CB,VR,rec,24.399999999999636,9.5
2017,472,1895,29329,2017-10-08 21:22:21.100,94.589996337890625,27.709999084472656,0.44999998807907104,346.6300048828125,59.43999862670898,,27,CB,VR,rec,24.399999999999636,9.5
2017,472,1895,32472,2017-10-08 21:22:21.100,80.62999725341797,22.790000915527344,0.6800000071525574,33.59999847412109,116.69000244140624,,38,FB,PDR2,rec,24.399999999999636,9.5
2017,472,1895,31950,2017-10-08 21:22:21.100,78.910003662109375,22.75,0.7300000190734862,327,101.52999877929688,,58,OLB,PDR1,rec,24.399999999999636,9.5
2017,472,1895,31950,2017-10-08 21:22:21.100,78.910003662109375,22.75,0.7300000190734862,327,101.52999877929688,,57,OLB,PDR1,rec,24.399999999999636,9.5
2017,472,1895,32211,2017-10-08 21:22:21.100,96.66999816894531,6.789999961853027,0.239999994635582,130.19000244140622,224.0800018310547,,16,WR,PR,rec,24.399999999999636,9.5
